date,AAP,ICE,K,REGN,XLNX,portfolio_value,port_val_chg_1_days,port_val_chg_5_days,port_val_chg_5_days_bin
2015-11-12 00:00:00+00:00,164.64,260.08,66.3,552.53,46.66,1301.9967827422818,-0.044728977522187297,-0.04994608289798341,0
2015-11-13 00:00:00+00:00,161.62,258.47,66.09,548.9,46.54,1292.0391949478026,-0.007647935790982885,-0.05401591054002031,0
2015-11-16 00:00:00+00:00,164.22,262.1,66.93,558.38,47.09,1310.820659145574,0.014536296012699568,-0.03253130165651641,0
2015-11-17 00:00:00+00:00,164.09,261.92,66.03,570.91,47.85,1314.3765162606478,0.0027126953563516576,-0.03358544902794758,0
2015-11-18 00:00:00+00:00,164.44,263.6,66.31,587.09,48.7,1327.6158163929758,0.010072684629206075,-0.02593237157447792,0
2015-11-19 00:00:00+00:00,162.37,262.93,66.47,581.35,48.92,1322.0837861544614,-0.004166890880785368,0.015427844122527068,1
2015-11-20 00:00:00+00:00,162.82,263.52,66.25,579.57,48.94,1322.6564247835233,0.0004331333876557153,0.023696827430190748,1
2015-11-23 00:00:00+00:00,162.62,263.3,68.57,570.85,48.6,1324.5311626025632,0.0014174034797787005,0.010459480754542172,1
2015-11-24 00:00:00+00:00,163.19,259.15,67.86,567.47,49.23,1314.863560854066,-0.007298885840859581,0.0003705518071821512,1
2015-11-25 00:00:00+00:00,164.3,259.51,69.18,561.69,49.01,1318.2871784892836,0.0026037816676536263,-0.007026609496892933,0
2015-11-27 00:00:00+00:00,164.84,260.23,69.27,563.1,49.23,1321.9151695272342,0.0027520490960915023,-0.00012753853348257405,0
2015-11-30 00:00:00+00:00,162.73,259.84,68.77,544.5,49.69,1310.5591899519131,-0.008590550919679973,-0.009146165704816411,0
2015-12-01 00:00:00+00:00,162.34,260.95,69.38,545.74,50.24,1315.9801118621012,0.004136342678568328,-0.006455907555742213,0
2015-12-02 00:00:00+00:00,157.93,259.05,68.89,546.88,49.0,1301.6747744739816,-0.010870481445101499,-0.01003053607441795,0
2015-12-03 00:00:00+00:00,154.78,253.84,68.53,535.73,48.47,1279.645590857902,-0.016923723228009613,-0.029311964996628137,0
2015-12-04 00:00:00+00:00,155.83,264.14,70.18,558.66,48.97,1317.6166822911264,0.029673131142324838,-0.0032517118610909668,0
2015-12-07 00:00:00+00:00,151.22,263.67,70.51,546.61,48.54,1305.3282396229856,-0.009326265243373433,-0.003991388080014535,0
2015-12-08 00:00:00+00:00,149.88,261.18,70.82,556.33,48.35,1302.4687355585704,-0.002190639854111387,-0.010267158433277745,0
2015-12-09 00:00:00+00:00,153.21,252.28,70.6,547.39,47.87,1283.3265480417429,-0.014696849908353737,-0.014095860803366556,0
2015-12-10 00:00:00+00:00,151.76,252.46,70.73,548.17,47.96,1282.562212330848,-0.0005955894172540166,0.002279241607037852,1
2015-12-11 00:00:00+00:00,148.85,243.95,70.13,534.51,47.35,1252.1176970865788,-0.02373726198352699,-0.049710197271224055,0
